data_X,data_c
Leben ist sehr einfach.. Liebe ist auch einfach.. Lachen ist zu einfach.. Gewinnen ist zuoo einfach.. Aber 'SIMPLE' zu sein ist sehr schwierig.. Gud nte.:-,not spam
"U haben einen geheimen Verehrer, der sucht 2 machen Kontakt mit U-find heraus, wer sie R*enthüllen, der denkt UR so spezielle Anruf auf 09058094599",spam
"Ah, nun, das verwirrt die Dinge, nicht wahr?",not spam
500 Freitext msgs. Nur Text ok bis 80488 und wir werden Ihr Konto gutschreiben,spam
"Hallo Liebe Rufen Sie mich seine urgnt. Ich weiß nicht, was Ihr Problem ist. Sie wollen nicht arbeiten oder wenn Sie ein anderes Problem haben, zumindest sagen Sie mir.",not spam
Alles in Ordnung?,not spam
"Sie wurden ausgewählt, um in 1 von 250 Top-British Hotels zu bleiben - FÜR NICHTS! Holiday Wert £350! To Claim, Call London 02072069400. Bx 526, SW73SS",spam
"Ja, Prinzessin, ich will dich glücklich machen.",not spam
"Klingt, als hättest du viele Talente! Möchtest du nächste Woche zu einem Dinner-Date gehen?",not spam
Ich gehe zu Film 2day da. Um 18 Uhr. Sorry da.,not spam
"Xy will 2 Geschäfte, also kaufe ich sie jetzt ein.",not spam
"Hallo mein kleines Partytier! Ich dachte nur, ich würde dich so bumsen, wie du mit deinen Freunden warst...*grins*... Erinnern Sie sich, dass Sie geliebt wurden und senden Sie einen frechen götzenden Kuss",not spam
Gestern ist es nur mit mir. Jetzt gehe ich nach Hause.,not spam
"Eerie Nokia Töne 4u, rply TONE TITEL bis 8007 zB TONE DRACULA bis 8007 Titel: GHOST, ADDAMSFA, MUNSTER, EXORCIST, TWILIGHT www.getzed.co.uk POBox36004W45WQ 150p",spam
"Sie haben in mein Leben gekommen und brachte die Sonne..Shiny unten auf mich, Wärmen mein Herz. Setzen Sie ein ständiges Lächeln auf mein Gesicht... So dass ich mich geliebt und gepflegt für",not spam
"Kein Scheiß, aber ich war nicht so überrascht, also ging ich den Abend mit dem Franzosen verbringen, den ich hier in der Stadt getroffen habe und wir haben ein bisschen herumgealbert, aber ich ließ ihn mich nicht ficken",not spam
"0A$NETWORKS ermöglichen es Unternehmen, SMS zu berechnen, so dass sie für ihre ""Lieferanten"" verantwortlich sind, so wie ein Shop eine Garantie auf das, was sie verkaufen geben muss. B. G.",spam
Tolle Komödie..cant aufhören zu lachen da:),not spam
FreeMsg:Feelin irgendwie Hoffnung u wie 2 halten mich Gesellschaft! Jst bekam eine Cam moby will c mein Bild?Txt oder Antwort DATE zu 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,spam
"Alles klar, wir sind hier fertig, sims dem Mann.",not spam
"Hallo, wo bist du? Wir sind bei und sie sind nicht daran interessiert, ausgehen ich bin, aber das Gefühl, ich sollte nicht so können wir gehen tomo, nichts dagegen haben Sie?",not spam
Schlafen nt wohl fühlen,not spam
U WIRD IHRE FON AUF DAMMIT SCHÜTZEN!!,not spam
Indien muss die Führung übernehmen:),not spam
Ich werde sie im Unterricht ausstellen.,not spam
Thts wat Wright Bruder hat zu fliegen..,not spam
"Abend * v gut, wenn etwas Ereignis beladen. Füllen Sie in, keine Sorge... Kopf * ok aber Kehle * zerstört. Wir sehen uns um sechs dann!",not spam
"Wenn u lachen wirklich laut.. Wenn u sprechen spontan.. Wenn u nicht kümmern, was andere fühlen.. U sind wahrscheinlich mit Ihren lieben &amp; besten Freunden.. GOODEVENING Liebe..:)",not spam
"Es ist ein Laptop, es mit dir zu nehmen.",not spam
"Ich habe keine Ihrer Akten in meiner Tasche..i war in der Arbeit, als Sie mich riefen.i 'll Ihnen sagen, wenn ich etwas in meinem Zimmer finde.",not spam
Ich will aber zu früh lei... ich wollte jetzt draußen so früh zu Hause sein... Neva-Geist dann...,not spam
"Für ur chance zu gewinnen £250 cash pro wk TXT: AKTION zu 80608. T's&C www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
"Ich war bei buggis juz jetzt wat... Aber jetzt bin ich zu Fuß nach Hause oredi... Ü so spät dann antworten... Ich oso sah ein Top-dat ich mag, aber din kaufen... Wo rü jetzt?",not spam
"Ich wünsche Ihnen und Ihrer Familie frohe ""X"" mas und glückliches neues Jahr im Voraus..",not spam
Um 7 werden wir in Ordnung na.,not spam
"Ja, ich habe ein paar Bilder auf fb gepostet. Draußen ist noch Schnee. Ich wache gerade auf :)",not spam
"S:-)Wenn wir eine gute Partnerschaft haben, werden wir die Führung übernehmen:)",not spam
"RGENT! Dies ist der zweite Versuch, Kontakt U!U haben WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50",spam
"Ja, wo ist dein Kurs?",not spam
Schicken Sie nicht einfach zu Ihnen. Bec Sie im Tempel na.,not spam
"Du kommst nicht zwischen den Kursen nach Hause, oder?",not spam
Hi if ur lookin 4 saucy Tag Spaß wiv vollbusig verheiratete Frau Am kostenlos die ganze nächste Woche Chat jetzt 2 Sortierzeit 09099726429 JANINExx Anrufe£1/minMobsmoreLKPOBOX177HP51FL,spam
S aber meistens nicht so.,not spam
"- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.",not spam
"Dunno cos ich war v spät n, als ich erreichen sie bereits innen... Aber wir aßen Spageddies lor... Es ist e girls, die r lachen mich lor...",not spam
"Rate mal, wer die ganze letzte Nacht in und aus der vierten Dimension gejagt hat.",not spam
"Jetzt wird mein Dad anrufen, nachdem er die Arbeit verlassen hat und all diese verrückten Fragen stellen.",not spam
"Ja..aber sie sagten es.,",not spam
"Sehr verletzen n sinnvolle Linien jemals: ""Ich kompromittierte alles für meine Liebe, Aber am Ende meiner Liebe kompromittierte mich für alles:-("".. Gud mornin:-)",not spam
"- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!",not spam
"Schön, Ihre Antwort zu sehen.",not spam
"URGENT! Wir versuchen, Kontakt U. Todays Ziehung zeigt, dass Sie einen £800 Preis gewonnen haben GARANTEED. Rufen Sie 09050001295 von der Landlinie. Anspruch A21. Nur gültig 12 Stunden",spam
Monatliches Passwort für wap. mobsi.com ist 391784. Verwenden Sie Ihr wap Telefon nicht PC.,spam
Nah dub aber je immer noch buff,not spam
"Schmerzhafte Worte: ""Ich dachte, glücklich zu sein sei das Härteste auf der Erde... Aber das Härteste ist, glücklich zu handeln mit allen unausgesprochenen Schmerzen im Inneren.""",not spam
"Es sind 6 Pfund, um reinzukommen, ist das ok?",not spam
Lol wo u kommen mit diesen Ideen?,not spam
"So viele Menschen scheint auf den ersten Blick etwas Besonderes zu sein, aber nur sehr wenige werden Ihnen bis zu Ihrem letzten Anblick etwas Besonderes bleiben.. Bewahren Sie sie, bis das Leben endet.. Sh!jas",not spam
"Heute ist ""Song gewidmet Tag.."" Welches Lied wird u widmen für mich? Senden Sie dies an alle ur wertvollen frnds aber zuerst rply mich...",not spam
"Okay, wir warten.",not spam
Bist du fertig?,not spam
"Ich wollte wirklich sehen, dass wir uns um 9 Uhr so anrufen. LIEBE MICH XXX",not spam
Schon hocken ist die neue Art des Gehens,not spam
Willst du fette 2 oder bb Fackel,not spam
Die Krämpfe blieben stehen und schliefen wieder ein.,not spam
"Die heutigen Vodafone-Nummern, die mit 0089 enden (meine letzten vier Ziffern), werden ausgewählt, um einen £350-Award zu erhalten. Wenn Ihre Nummer stimmt, rufen Sie bitte 09063442151 an, um Ihren £350-Award zu erhalten.",spam
Free Top Klingelton -Sub bis wöchentliche Klingelton-get 1. Woche kostenlos-senden SUBPOLY zu 81618-?3 pro Woche-Stopp sms-08718727870,spam
Nan sonathaya soladha. Warum Boss?,not spam
Bringen tat cd nicht vergessen,not spam
"Sunshine Quiz Wkly Q! Gewinnen Sie einen Top-Sony-DVD-Player, wenn u wissen, in welchem Land die Algarve ist? Txt ansr zu 82277. £1.50 SP:Tyron",spam
"Ich weiß nicht, aber ich vergewaltige Typen beim Pokern.",not spam
Weightloss! Keine Freundinnen mehr. Machen Sie jede Menge Geld auf ebay oder so. Und danken Sie Gott.,not spam
"War gr8, um diese Nachricht zu sehen. Also, wenn r u verlassen? Gratuliere liebe. Welche Schule und wat r ur Pläne.",not spam
"Ich esse später, aber ich esse jetzt, wenn ich erst nach Hause gehe?",not spam
"Ja, sie sagen immer wieder, ich sei so beschämt.",not spam
"Tut mir leid Mann, mein Vorrat lief gestern Nacht trocken und ich kann nicht mehr bis Sonntag abholen",not spam
"Hai Priya, du hast recht, der Arzt hat Papa gesagt, wo bist du?",not spam
"Frei msg. Sorry, ein Service, den Sie von 81303 bestellt haben, konnte nicht geliefert werden, da Sie nicht über ausreichende Gutschrift verfügen.",spam
In Ordnung.,not spam
"Bitte sag Mama, sie soll Vater anrufen.",not spam
"Kann mein Zimmer kommen, aber mein Haus kann nicht kommen, weil mein Haus immer noch chaotisch ist.",not spam
Ich habe ab heute 10 Kilo verloren!,not spam
Geschmack Fisch Curry :-P,not spam
Was kann ich tun? Könnte accidant Platz zwischen irgendwo ghodbandar rd. Verkehr bewegt sich slovely. So plz slip &amp; keine Sorge.,not spam
"Wo ist sie, wenn sie sich auf Waden spezialisiert hat?",not spam
"Ja, ich bin ein Mann mit einer Frau! Bitte sag mir, was du magst und was du im Bett nicht magst.",not spam
"Ich weiß Sie zu schätzen, ich rufe Sie morgen an.",not spam
"Wie geht es meinem Loverboy? Was macht er, das ihn davon abhält, zu seiner Königin zu kommen, hmmm, schmerzt er nicht, mit mir zu sprechen? Miss me desparately?",not spam
Du triffst andere Fren dun wan triffst mich ah... Muz b ein Kerl Ritus...,not spam
"(Keine Versprechungen, wenn, haben noch nicht einmal Abendessen bekommen)",not spam
Hast du irgendwelche Abneigungen im Bett?,not spam
"o stellt sich heraus, dass ich Stereo-Liebe auf mi Telefon unter dem unbekannten Album hatte.",not spam
Hard LIVE 121 Chat nur 60p/min. Wählen Sie Ihr Mädchen und verbinden Sie LIVE. Rufen Sie 09094646899 jetzt! Günstige Chat UK größten Live-Service. VU BCM1896WC1N3XX,spam
"Ja, ich verstehe nicht, warum nicht.",not spam
Fragen tun u knw sie oder nt? Kann ur frnds oder Klassenkameraden sein?,not spam
"Tut mir leid wegen vorhin. Feuer löschen.Sind Sie nach 9 hier, um zu reden? Oder haben Sie tatsächlich ein Leben, lol!",not spam
WOW! The Boys R Back. TAKE THE 2007 UK Tour. Gewinnen Sie VIP Tickets & Pre-Book mit VIP Club. Txt CLUB zu 81303. Trackmarque Ltd info@vipclub4u.,spam
"Wie in missionarischen Haken oben, doggy Haken oben, stehend...",not spam
Dann u besser schlafen gehen. Dun stören u liao.. U aufwachen dann msg me lor..,not spam
"Mit der Welt zu kämpfen ist einfach, u entweder gewinnen oder verlieren bt kämpfen mit einigen1, die nahe an u ist Dificult, wenn u verlieren - u verlieren, wenn u gewinnen - u immer noch verlieren.",not spam
Am Watching House – sehr unterhaltsam – bekomme ich das ganze Hugh-Laurie-Ding – sogar mit dem Stick – tatsächlich vor allem mit dem Stick.,not spam
"Ich dachte, du meinst noch einen.",not spam
"Hallo Jon, Pete hier, Ive bin 2 Spanien vor kurzem & hav sum dinero links, Bill sagte u oder ur enrents mayb daran interessiert, ich habe 12.000pes, so um £48, tb, James.",not spam
Es gibt fette 2 &lt;#&gt;. Ist das Ihre,not spam
Ich werde in &lt;#&gt; Minuten mit Ihnen sprechen.,not spam
"Wir haben 2 Sekunden Zeit, um uns zu verabschieden, um JUS DA PUB INTEAD, JUS CHILLIN AN DA MO IN ME BEDROOM, LOVE JEN XXX.",not spam
Ich ging ins Projektzentrum.,not spam
"Gemäß Ihrer Anfrage 'Maangalyam (Alaipayuthe)' wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune",not spam
Lol yeah an diesem Punkt schätze ich nicht,not spam
Projekt durchführen w frens lor.,not spam
"Lol. Gut Qualität aint schlecht überhaupt, so dass ich aint beschweren",not spam
"K, kann das heute Nacht passieren?",not spam
"Hallo, dies ist Mandy Sullivan Anruf von HOTMIX FM...Sie werden gewählt, um £5000.00 in unserem Osterpreis ziehen zu erhalten....Bitte Telefon 09041940223 vor 29/03/05 zu behaupten, oder Ihr Preis wird an jemand anderes übertragen werden....",spam
"Ich glaube, wir gehen jetzt zu Finn's, komm.",not spam
"Warum müde, was für etwas Besonderes du dort hattest",not spam
Ich werde morgen kommen di,not spam
Ich kann das Telefon jetzt nicht wählen. Pls senden eine Nachricht,not spam
K gehen und gut schlafen. Ruh dich aus:-).,not spam
U Jungs laden mich nie irgendwo ein :(,not spam
"UR GOING 2 BAHAMAS! Rufen Sie anFREEFONE 08081560665 und sprechen Sie mit einem Live-Operator, um entweder Bahamas Kreuzfahrt von £ 2000 CASH 18+ nur Anspruch.",spam
Ich möchte Sie sowohl innerhalb als auch außerhalb des Schlafzimmers zufriedenstellen.,not spam
"Ich weiß, dass WOTU R an ihnen vorbeikommt, wenn ich mich um etwas gekümmert habe.",not spam
Ich liebe es zu Wein und speisen meine Dame!,not spam
"Jemand hat unsere Dating-Service und eingegeben Ihr Telefon, weil sie Lust auf Sie!Um herauszufinden, wer es ist Anruf aus Festnetz 09111030116. PoBox12n146tf15",spam
"Ich bin cool ta luv aber v.tired 2 weil ich viel von der Planung aller wk getan habe, haben wir unsere soziale Dienstleistungen Inspektion im Kindergarten! Achten Sie auf & spk sn x.",not spam
Ich kenne die Kontodetails..ich werde meine Mutter fragen und dir schicken.meine Mutter ist jetzt außer Reichweite.,not spam
"Ich denke, u haben die falsche Nummer.",not spam
"Fühlen Sie sich, dass Sie immer glücklich sind.. Langsam wird es Ihr Habit &amp; Schließlich wird es Teil Ihres Lebens.. Folgen Sie ihm.. Happy Morning &amp; Haben Sie einen glücklichen Tag:)",not spam
KEINE LETZTE LIEBE MUM,not spam
Ich habe es..mail panren paru..,not spam
* Ich dachte an Chuckin ur rot grün n schwarz trainers 2 spare carryin sie bac auf Zug,not spam
Verpassen Sie bitte einen von dieser Nummer.,not spam
Jus kam nur zum Mittagessen mit meiner Schwester zurück.,not spam
Ich bin am Wochenende nicht in der Stadt.,not spam
Wirklich gut:)Dhanush Felsen wieder einmal:),not spam
"Lmao okay, ich werde nicht mehr u brauchen, um meine Haare zu machen.",not spam
"Miss ye, ich brauche dich, ich will dich, ich liebe dich.",not spam
"Tut mir leid, dass ich nicht frei bin.",not spam
"Haben u jemals einen Song in Ihrem Kopf stecken ohne Grund und es wird nicht weg gehen, bis u hören Sie es wie 5 mal?",not spam
Noch nicht chikku..einfache habba..hw abt u?,not spam
"Haben ur mail Dileep.thank you so muchand look forward to lots of support...sehr weniger Kontakte hier, erinnern Sie sich an ein venugopal Sie erwähnt.Morgen, wenn nicht spät, werde ich versuchen, bis date.goodnight liebe kommen.",not spam
Manchmal Herz Remembrs jemand Sehr viel... vergisst jemand bald... Bcoz Herz wird nicht jeder mögen. Aber gemocht werden jedes Mal erinnert werden... BSLVYL,not spam
Joys Vater ist John. Dann ist John der Name von Joys Vater. Mandan,not spam
Hi 07734396839 IBH Kundentreue Angebot: Das neue NOKIA6600 Handy von nur £ 10 bei TXTAUCTION!Txt Wort: START zu No:81151 & erhalten Sie Ihre jetzt!4T&,spam
"Hi, hier ist Yijue... es geht um das 3230-Lehrbuch, es ist Intro zu Algorithmen der zweiten Ausgabe... ich verkaufe es für $50...",not spam
"SMS AUCTION Sie haben ein Nokia 7250i gewonnen. Dies ist, was Sie erhalten, wenn Sie unsere kostenlose Auktion gewinnen. Um Teil senden Nokia an 86021 jetzt. HG/Suite342/2Lands Row/W1JHL 16+",spam
"K, wollen wir jetzt vorbeikommen?",not spam
"Wie. Es ist ein wenig schwierig, aber es ist eine einfache Art und Weise, diesen Ort zu betreten",not spam
"Wir beide machen e gleiche Sache. Aber ich habe TV 2 Uhr. U kann thk, wo 2 gehen heute Abend oder u bereits haf smth im Kopf...",not spam
Zeigen Sie sich nicht. Wie weit. Legen Sie neue Bilder auf Facebook.,not spam
Jetzt Fernsehen schauen. Ich habe einen neuen Job bekommen :),not spam
"Guten Nachmittag sexy Brötchen! Wie geht die Jobsuche? Ich wache auf und du bist mein erster Gedanke wie immer, meine Liebe. Ich wünsche dir schön und glücklich und weiß, dass ich dich anbete!",not spam
"Ich komme nicht vorbei, tu, was immer du willst.",not spam
"Es ist ok chikku, und es ist mein 1 Lieblingslied..:-)",not spam
"Hast du gesehen, was ich auf deinem Facebook gepostet habe?",not spam
Rufen Sie jetzt FREEPHONE 0800 542 0578 an!,spam
Kaufen Space Invaders 4 a chance 2 win orig Arcade Spielkonsole. Drücken Sie 0 für Spiele Arcade (std WAP Gebühr) Siehe o2.co.uk/games 4 Bedingungen + Einstellungen. Kein Kauf,spam
"7 Wunder in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Persönlichkeit 3rd Ur Nature 2nd Ur SMS und 1. ""Ur Lovely Friendship""... guten Morgen",not spam
"Kredit für jeden Zweck £500 - £75,000. Hausbesitzer + Mieter willkommen. Wurden Sie zuvor abgelehnt? Wir können noch helfen. Rufen Sie kostenlos 0800 1956669 oder Text zurück 'Hilfe'",spam
BIG BROTHER ALERT! Der Computer hat u für 10k Bargeld oder #150 Gutschein ausgewählt. Rufen Sie 09064018838. NTT PO Box CRO1327 18+ BT Landline Kosten 150ppm Handys variieren,spam
";-(Oh gut, u u später",not spam
Meine Onkel in Atlanta wünschen euch ein tolles Semester.,not spam
Keine Liebe ich habe kostenlose Nachrichten ohne Aufladen. Hallo hallo,not spam
"Suchen Sie nicht Liebe, lassen Sie die Liebe finden U. Das ist, warum seine genannt Verlieben, bcoz U nicht zwingen sich, U nur fallen und U wissen, dass es Smeone zu halten U...",not spam
"Ich glaube nicht, dass ich es ihm gesagt habe.",not spam
"Wissen Sie, warum Gott eine Lücke zwischen Ihren Fingern geschaffen hat? So dass, Einer, der für Sie gemacht ist, kommt &amp; füllt diese Lücken, indem er Ihre Hand mit LIEBE hält..!",not spam
Ja:)Sura im Sonnenfernsehen.:)lol.,not spam
Arun kann u transfr me d amt,not spam
"Jetzt duschen, aber ja, ich gehe, wenn ich fertig bin.",not spam
"Bin nicht arbeiten, aber bin bis zu den Augen in der Philosophie so wird Text u später, wenn ein bisschen mehr frei für Chat...",not spam
"Ich habe nicht verloren mich krank immer b hier 4u.i nicht beabsichtigen 2 verletzt u, aber ich wusste nie, wie u fühlte sich über mich, wenn ich war+marine&thats was itered2tell urmom.i careabout u",not spam
"WIN: Wir haben einen Gewinner! Herr T. Foley gewann einen iPod! Weitere spannende Preise bald, also halten Sie ein Auge auf ur mobile oder besuchen Sie www.win-82050.co.uk",spam
"Du böses Mädchen, ich kann mich noch an sie erinnern.",not spam
- Wie viel ich dir gegeben habe.,not spam
"Ich hoffe, Ihr in Ordnung Babe? Ich befürchte, dass Sie vielleicht ein wenig abwesend, als Sie gelernt haben, dass der Job war eine Fälschung? Ich bin hier warten, wenn Sie zurückkommen, meine Liebe",not spam
"Carlos wollte, dass ich ihn dort treffe, aber ich habe mich verirrt und er geht nicht ans Telefon.",not spam
Kann ich zuerst deine Meinung zu etwas bekommen?,not spam
"Die eine Woche Urlaub habe ich gesagt, wissen, dass die Zeit.",not spam
"Wenn wir es abschlagen, kannst du bei mir einziehen :)",not spam
Ich verbrachte &lt;#&gt; Jahre in der Luftwaffe. Irak und Afghanistan. Ich bin stabil und ehrlich.,not spam
Ich will den Film sehen.,not spam
"Okay, lor thanx... Ü in der Schule?",not spam
Hast du meine SMS bekommen?,not spam
Der Bus fährt bei &lt;#&gt;,not spam
Gott segne.get guten Schlaf meine Liebe...ich werde beten!,not spam
"Heute Voda Zahlen Ende 1225 sind ausgewählt, um einen £50award zu erhalten. Wenn Sie ein Match haben, rufen Sie bitte 0871230220 quoting Claim Code 3100 Standardrate App",spam
"Schönen Tag noch heute, ich liebe dich so sehr.",not spam
Aiyo ein wenig pai seh u noe... Angst er dun rem wer ich bin dann sterben... Hee... aber er besser aussehen oredi leh...,not spam
Ich frage ein paar meiner Mitbewohner.,not spam
"Also, was ist dein Haus wieder? Und hast du Bier da?",not spam
Wie geht es da rest of da project?,not spam
Erste Tickets 4 walsall tue 6 th march. Mein Kumpel bringt mir sie auf sat. schlecht bezahlen meine Leckerbissen. Wollen 2 gehen. Txt bak.Terry,not spam
"Ja, wir unterhalten uns auch.",not spam
"Ich weiß nicht, ob Sie bei der Arbeit sind, aber rufen Sie mich an, wenn Sie zu Hause sein können.",not spam
"Sian, der Besprechungsvorgesetzte hat Arbeit 2, arbeitet er jetzt?",not spam
Schreibst du diese Woche eine Ccna-Prüfung?,not spam
Nun werde ich in 3D schrek sehen!!B),not spam
Bin ich so ein dreckiger Kerl?,not spam
Dunno dat hat es mir gesagt.,not spam
"Ich werde wahrscheinlich bis morgen (oder sogar später heute Abend, wenn etwas los ist)",not spam
"Ich konnte nicht nein sagen, da er ein sterbender Mann ist und ich traurig für ihn bin, also werde ich gehen und ich wollte nur, dass du weißt, dass ich wahrscheinlich spät in deine Nacht gegangen wäre.",not spam
"Wenn du vorhast, mir einen zu heben, dann nein.",not spam
Das gleiche wie dun wan... du dun wie ich schon ah... wat u jetzt tun? Immer noch essen?,not spam
Senden Sie mir ur E-Mail id bald,not spam
"Wat macht einige Leute lieber ist nicht nur de Glück dat u fühlen, wenn u sie treffen, aber de Schmerz u fühlen, wenn u miss dem!!!",not spam
"Kumpel. Was ist los. Wie Teresa. Hoffe, dass Sie okay gewesen sind. Als ich nicht von diesen Leuten hörte, rief ich sie an und sie hatten das Paket seit dec &lt;#&gt; erhalten. Nur thot Sie gerne wissen. Haben Sie ein fantastisches Jahr und alles Gute mit Ihrem Lesen. Plus wenn Sie wirklich wirklich Bam Erste Hilfe für Usmle können, dann ist Ihre Arbeit getan.",not spam
Hey gorgeous Mann. Meine Arbeit Handy-Nummer ist. Haben Sie eine gute ein Baby. Squishy Mwahs.,not spam
Darf ich dich später anrufen?,not spam
"Heiße Bilder direkt auf Ihr Handy!! Sehen Sie mich immer nass und wollen, nur für Sie xx Text PICS zu 89555 jetzt! txt kostet 150p Textoperator g696ga 18 XxX",spam
So solltest du bleiben.,not spam
Hallo-Thanx für den Anruf. Ich habe einen Job! Beginnt am Montag!,not spam
Um wie viel Uhr ist ur flight TMR?,not spam
Wann soll ich herkommen?,not spam
Ich habe eine ziemlich prominente Bissmarke auf meiner rechten Wange,not spam
* Bis dahin wird es September sein!,not spam
Bist du jetzt nass?,not spam
Und wie geht's deinem Mann?,not spam
"Hack Chat. Holen Sie sich Hintertür Eintrag in 121 Chat-Räume zu einem Bruchteil der Kosten. Antworten Sie NEO69 oder rufen 09050280520, um 25pm zu abonnieren. DPS, Bcm Box 8027 Ldn, wc1n3xx",spam
"Machen wir morgen die Norm? Ich beende nur ein 4.15 cos von st Tests. Muss Bibliothek Sachen an einem Punkt sortieren tomo - erhalten Brief von heute - Zugriff bis Ende März, so dass ich besser weiter!",not spam
"Ich habe eine Liste mit nur u und Joanna, wenn ich mich wirklich antisozial fühle.",not spam
Ich bin in Ihrem Büro na.,not spam
Kommst du später runter?,not spam
Super da:)guter Ersatz für Wandmalereien,not spam
Da ist ein guter Spieler.Warum ist er nicht verkauft.,not spam
"Hallo.Wünscht u, mich später mit Sts zu verbinden?Sie um fünf zu treffen.Rufen Sie u nach dem Unterricht an.",not spam
"Es ist in England! Aber Telly hat beschlossen, es nicht zulassen, dass ich es zu sehen und Mia und Elliot küssten! Verdammt!",not spam
"FREE NOKIA oder Motorola mit bis zu 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Rufen Sie Mobileupd8 auf 08001950382 oder rufen Sie 2optout/D3WV",spam
Ich will keine Philosophie hören.,not spam
Sie haben einen Job in wipro:)Sie bekommen alles im Leben in 2 oder 3 Jahren.,not spam
Dann kann nicht bekommen da Laptop? Meine Matric-Karte wif u lei...,not spam
Dunno da next show af 6 ist 850. Toa payoh bekam 650.,not spam
"Dies ist das 2. Mal haben wir versucht, 2 Kontakt u. U gewonnen haben den 750 Pound Preis. 2 Anspruch ist einfach, rufen Sie 08718726970 JETZT! Nur 10p pro min. BT-national-Rate",spam
"Ich habe nur ein paar Zahlungen geleistet, also haben Sie nicht so viel. Sorry, würden Sie wollen, dass es fedex oder in die andere Richtung.",not spam
"Sie spielten nicht einen Tag im letzten Jahr, obwohl sie ein sehr gutes Team haben.. Wie Indien.",not spam
"K.:)Sie sind das einzige Mädchen, das in der Rezeption wartet ah?",not spam
"Sage dies langsam.? GOTT,Ich LIEBE SIE & amp; Ich brauche Sie,CLEAN MEIN HERZ MIT IHREM BLOOD.Senden Sie dies an zehn spezielle Leute & amp; u c Wunder morgen, tun Sie es,pls,pls tun es...",not spam
"Ich hasse es, wenn sie das macht. Sie verwandelt was ein lustiger Einkaufsausflug sein sollte, in einen nervigen Tag, wie alles in ihrem Haus aussehen würde.",not spam
"Sir, ich warte auf Ihren Anruf.",not spam
"Willst du, dass ich online komme?",not spam
"Es könnte funktionieren, wir werden bei der nächsten Sitzung einen Konsens erzielen.",not spam
Aiyah dann warte ich lor. Dann u unterhalten mich. Hee...,not spam
"Die letzte Sache, die ich jemals tun wollte, war verletzt Sie. Und ich dachte nicht, es hätte. Sie würden lachen, beleidigt sein, löschen Sie den Tag und halten Sie. Aber so weit ich wusste, es war nicht einmal oben. Die Tatsache, dass Sie sogar das Gefühl, ich würde es tun, um zu verletzen Sie zeigt, dass Sie wirklich nicht kennen mich überhaupt. Es war chaotisch Mittwoch, aber es war nicht schlecht. Das Problem, das ich damit habe, ist Sie die Zeit, es zu reinigen, aber Sie wählen nicht. Sie Skype, Sie machen Bilder, Sie schlafen, Sie wollen ausgehen. Ich habe nichts dagegen, hier und da, aber wenn Sie nicht das Bett machen, wenn Sie Wäsche auf es werfen, wenn ich nicht einen Freund im Haus haben kann, weil ich bescheuert bin, dass es Unterwäsche und BHs auf dem Bett gestreut, Kissen auf dem Boden, das ist etwas anderes.",not spam
"Ich lasse es dich wissen, wenn es eintritt.",not spam
"Du rufst ihn jetzt an, okay? Ich sagte, ruf ihn an.",not spam
"Rufen Sie die Nummer an, die nach Vereinbarung verfügbar ist, und bitten Sie, den Anruf mit Waheed Fathima zu verbinden.",not spam
"Oder gehen Sie wif ihn kaufen, dann treffen wir uns später?",not spam
Mmmm... Fuck... Nicht fair! Du kennst meine Schwächen! *grinst* * schiebt dich an dein Knie* *exponiert meinen Bauch und zieht deinen Kopf dazu* Vergiss nicht... Ich kenne auch deins *wicked smile*,not spam
Heute mein System sch machen sich bereit.all ist gut und ich bin auch im tiefen Brunnen,not spam
"Mom will wissen, wo du bist",not spam
"Ich simse dir, wenn ich zurück bin.",not spam
"Dont know unterstützt Arsch und srt i thnk. Ich denke, ps3 kann durch USB zu spielen",not spam
"Oh, okay, ich wusste nicht, was du meinst.",not spam
"Sie haben WON ein garantiertes £ 1000 Bargeld oder einen £ 2000 Preis.Um zu behaupten, yr Preis rufen Sie unseren Kundendienst-Vertreter auf",spam
"Würden Sie gerne meine XXX Bilder sehen, die sie so heiß sind, dass sie fast in der Uk verboten wurden!",spam
